X,Y,Text,tipo,angulo,icon_url
-49.489705197638,-28.4035637008386,"4",Galeria,"135",./0.png
-49.4893335608656,-28.4036229385919,"2",Galeria,"135",./0.png
-49.4889619237274,-28.4036821753145,"0",Galeria,"135",./0.png
-49.4885902862234,-28.4037414110064,"1",Galeria,"135",./0.png
-49.4882186483537,-28.4038006456676,"3",Galeria,"135",./0.png
-49.4878470101182,-28.4038598792982,"5",Galeria,"135",./0.png
-49.4915794674935,-28.4032669354028,"14",Galeria,"135",./0.png
-49.4919504059602,-28.4032054437241,"16",Galeria,"135",./0.png
-49.4923106918002,-28.4031502924776,"18",Galeria,"135",./0.png
-49.4903447581786,-28.4048188849001,"6",Galeria,"135",./0.png
-49.4899731846398,-28.4048781134952,"4",Galeria,"135",./0.png
-49.4896015433561,-28.4049373517998,"2",Galeria,"135",./0.png
-49.4892299017065,-28.4049965890737,"0",Galeria,"135",./0.png
-49.4907163987307,-28.4047596445342,"8",Galeria,"135",./0.png
-49.4911047119309,-28.404700965652,"10",Galeria,"135",./0.png
-49.4914759561715,-28.4046394517544,"12",Galeria,"135",./0.png
-49.4918474772509,-28.4045813452778,"14",Galeria,"135",./0.png
-49.4922184202157,-28.4045198530488,"16",Galeria,"135",./0.png
-49.4925754581453,-28.4044635517135,"18",Galeria,"135",./0.png
-49.4880408333755,-28.4036263367852,TV 13,Travessa,"45",./0.png
-49.4881078244292,-28.4039549406199,TV 14,Travessa,"45",./0.png
-49.4881748158487,-28.4042835444221,TV 15,Travessa,"45",./0.png
-49.4883092048898,-28.4046018916812,TV 16,Travessa,"45",./0.png
-49.4879738426875,-28.4032977329181,TV 12,Travessa,"45",./0.png
-49.4879219309633,-28.4030166148141,TV 11,Travessa,"45",./0.png
-49.492623160717,-28.403085106809,"20",Galeria,"135",./0.png
-49.4924750967624,-28.4010270720365,TV 1,Travessa,"45",./0.png
-49.4927935332801,-28.4009842917065,TV 2,Travessa,"45",./0.png
-49.493110260565,-28.4009301851112,TV 3,Travessa,"45",./0.png
-49.493427881896,-28.400883060564,TV 4,Travessa,"45",./0.png
-49.4937426315789,-28.4008263639818,TV 5,Travessa,"45",./0.png
-49.4934041717173,-28.3998325746298,"2",Galeria,"135",./0.png
-49.4934612172752,-28.4001123303133,"0",Galeria,"135",./0.png
-49.4935182630983,-28.4003920859733,"1",Galeria,"135",./0.png
-49.4935753091867,-28.4006718416096,"3",Galeria,"135",./0.png
-49.4936323555403,-28.4009515972224,"5",Galeria,"135",./0.png
-49.4936894021592,-28.4012313528115,"7",Galeria,"135",./0.png
-49.4924550281143,-28.3999838963408,"2",Galeria,"135",./0.png
-49.4925120712205,-28.4002636523243,"0",Galeria,"135",./0.png
-49.4925691145918,-28.4005434082841,"1",Galeria,"135",./0.png
-49.4926261582284,-28.4008231642204,"3",Galeria,"135",./0.png
-49.4926832021302,-28.4011029201331,"5",Galeria,"135",./0.png
-49.4927402462972,-28.4013826760222,"7",Galeria,"135",./0.png
-49.4880148322593,-28.4014158521876,"3",Galeria,"135",./0.png
-49.4940590151036,-28.4007759212445,TV 6,Travessa,"45",./0.png
-49.494375398363,-28.4007254777603,TV 7,Travessa,"45",./0.png
-49.4946917813572,-28.4006750335291,TV 8,Travessa,"45",./0.png
-49.495008164086,-28.4006245885511,TV 9,Travessa,"45",./0.png
-49.4953245465496,-28.4005741428261,TV 10,Travessa,"45",./0.png
-49.4956409287478,-28.4005236963543,TV 11,Travessa,"45",./0.png
-49.4959573106807,-28.4004732491356,TV 12,Travessa,"45",./0.png
-49.4962736923483,-28.40042280117,TV 13,Travessa,"45",./0.png
-49.4965900737505,-28.4003723524575,TV 14,Travessa,"45",./0.png
-49.4969064548874,-28.4003219029982,TV 15,Travessa,"45",./0.png
-49.4956188308408,-28.3994794644966,"2",Galeria,"135",./0.png
-49.4956758821192,-28.3997592194801,"0",Galeria,"135",./0.png
-49.4957329336629,-28.40003897444,"1",Galeria,"135",./0.png
-49.4957899854719,-28.4003187293763,"3",Galeria,"135",./0.png
-49.4958470375463,-28.4005984842889,"5",Galeria,"135",./0.png
-49.4959040898859,-28.4008782391779,"7",Galeria,"135",./0.png
-49.4937464490434,-28.4015111083771,"9",Galeria,"135",./0.png
-49.4938034961928,-28.401790863919,"11",Galeria,"135",./0.png
-49.4938605436075,-28.4020706194373,"13",Galeria,"135",./0.png
-49.4959611424909,-28.4011579940433,"9",Galeria,"135",./0.png
-49.4960181953613,-28.401437748885,"11",Galeria,"135",./0.png
-49.4918346639557,-28.4053977100336,TV 20,Travessa,"45",./0.png
-49.4919016676613,-28.4057263124073,TV 21,Travessa,"45",./0.png
-49.4883767376881,-28.4030976745329,1A,Galeria,"135",./0.png
-49.4880398719794,-28.4031506310983,"3",Galeria,"135",./0.png
-49.4877234468239,-28.4032010646095,"5",Galeria,"135",./0.png
-49.4882626054161,-28.4025381643795,1A,Galeria,"135",./0.png
-49.4985923633282,-28.3995829220937,"1",Galeria,"135",./0.png
-49.4986494225229,-28.3998626761255,"3",Galeria,"135",./0.png
-49.498706481983,-28.4001424301336,"5",Galeria,"135",./0.png
-49.4987635417086,-28.4004221841181,"7",Galeria,"135",./0.png
-49.4988206016995,-28.4007019380788,"9",Galeria,"135",./0.png
-49.498877661956,-28.4009816920159,"11",Galeria,"135",./0.png
-49.4989347224779,-28.4012614459295,"13",Galeria,"135",./0.png
-49.490440340326,-28.4034384894484,"8",Galeria,"135",./0.png
-49.4972228357589,-28.4002714527919,TV 16,Travessa,"45",./0.png
-49.4975392163651,-28.4002210018388,TV 17,Travessa,"45",./0.png
-49.4978555967058,-28.4001705501389,TV 18,Travessa,"45",./0.png
-49.4981719767812,-28.400120097692,TV 19,Travessa,"45",./0.png
-49.4984883565911,-28.4000696444984,TV 20,Travessa,"45",./0.png
-49.4988047361356,-28.4000191905579,TV 21,Travessa,"45",./0.png
-49.4991211154147,-28.3999687358706,TV 22,Travessa,"45",./0.png
-49.4994374944283,-28.3999182804364,TV 23,Travessa,"45",./0.png
-49.4955780800901,-28.399279639494,"4",Galeria,"135",./0.png
-49.4955373294747,-28.399079814479,"6",Galeria,"135",./0.png
-49.4956525749497,-28.4020245125461,"0",Galeria,"135",./0.png
-49.4959696174518,-28.4019685799494,"2",Galeria,"135",./0.png
-49.4962847747762,-28.4019139104932,"4",Galeria,"135",./0.png
-49.4965977727093,-28.4018532002268,"6",Galeria,"135",./0.png
-49.4969115535544,-28.4017981052772,"8",Galeria,"135",./0.png
-49.4972370509142,-28.4017253606323,"10",Galeria,"135",./0.png
-49.4953347934277,-28.4020811854501,"1",Galeria,"135",./0.png
-49.4950210457066,-28.4021227666884,"3",Galeria,"135",./0.png
-49.4947052766657,-28.4021747170945,"5",Galeria,"135",./0.png
-49.4943884576132,-28.4022213003292,"7",Galeria,"135",./0.png
-49.494043019193,-28.4021403272152,"9",Galeria,"135",./0.png
-49.4937620186965,-28.4022710918968,"11",Galeria,"135",./0.png
-49.4934488280438,-28.4023380121135,"13",Galeria,"135",./0.png
-49.4931311456416,-28.4023835051553,"15",Galeria,"135",./0.png
-49.4874716873098,-28.4039067988858,"7",Galeria,"135",./0.png
-49.4874099566052,-28.4032489260847,"7",Galeria,"135",./0.png
-49.4989926514282,-28.4015450558346,"15",Galeria,"135",./0.png
-49.499048564206,-28.4018220470407,"17",Galeria,"135",./0.png
-49.4991065909147,-28.4021017004471,"19",Galeria,"135",./0.png
-49.4991676238192,-28.4024298094276,"21",Galeria,"135",./0.png
-49.4992371789568,-28.4027596460535,"23",Galeria,"135",./0.png
-49.4997387934465,-28.4029769213151,TV 22,Travessa,"45",./0.png
-49.5000551812461,-28.4029264647944,TV 23,Travessa,"45",./0.png
-49.5003715687802,-28.4028760075266,TV 24,Travessa,"45",./0.png
-49.5006879560489,-28.4028255495121,TV 25,Travessa,"45",./0.png
-49.501004343052,-28.4027750907507,TV 26,Travessa,"45",./0.png
-49.5013039144692,-28.4026647081852,TV 27,Travessa,"45",./0.png
